Name,,GTP 50-yr
Trichlorofluoromethane,,4888
Dichlorodifluoromethane,,10952
Chlorotrifluoromethane,,14218
"1,1,2-Trichloro-1,2,2-trifluoroethane",,6247
"1,2-Dichloro-1,1,2,2-tetrafluoroethane",,9022
"1-Chloro-1,1,2,2,2-pentafluoroethane",,7806
Dichlorofluoromethane,,26
Chlorodifluoromethane,,832
"1,1,2-Trichloro-2,2-difluoroethane",,10
"1,1,2-Trichloro-1,2-difluoroethane",,48
"2,2-Dichloro-1,1,1-trifluoroethane",,14
"1,2-Dichloro-1,1,2-trifluoroethane",,72
"2-Chloro-1,1,1,2-tetrafluoroethane",,121
"1,1-Dichloro-1,2-difluoroethane",,67
"1,1-Dichloro-1-fluoroethane",,271
"1-Chloro-1,1-difluoroethane",,1372
"3,3-Dichloro-1,1,1,2,2-pentafluoropropane",,22
"1,3-Dichloro-1,1,2,2,3-pentafluoropropane",,120
"(E)-1-Chloro-3,3,3-trifluoroprop-1-ene",,0
Trifluoromethane,,12960
Difluoromethane,,145
Fluoromethane,,21
"1,1,1,2,2-Pentafluoroethane",,2977
"1,1,2,2-Tetrafluoroethane",,412
"1,1,1,2-Tetrafluoroethane",,703
"1,1,2-Trifluoroethane",,62
"1,1,1-Trifluoroethane",,5061
"1,2-Difluoroethane",,3
"1,1-Difluoroethane",,24
Fluoroethane,,1
"1,1,1,2,2,3,3-Heptafluoropropane",,2482
"1,1,1,2,3,3,3-Heptafluoropropane",,3436
"1,1,1,2,2,3-Hexafluoropropane",,636
"1,1,1,2,3,3-Hexafluoropropane",,573
"1,1,1,3,3,3-Hexafluoropropane",,8401
"1,1,2,2,3-Pentafluoropropane",,176
"1,1,1,2,2-Pentafluoropropane",,4869
"1,1,2,3,3-Pentafluoropropane",,44
"1,1,1,2,3-Pentafluoropropane",,54
"1,1,1,3,3-Pentafluoropropane",,245
"1,1,1-Trifluoropropane",,13
"2,2-Difluoropropane",,26
"1,1,1,2,2,3,3,4,4-Nonafluorobutane",,2218
"1,1,1,3,3-Pentafluorobutane",,262
"1,1,1,2,2,3,4,5,5,5-Decafluoropentane",,1073
"1,1-Difluoroethene",,0
Fluoroethene,,0
"(Z)-1,2,3,3,3-Pentafluoroprop-1-ene",,0
"(E)-1,2,3,3,3-Pentafluoroprop-1-ene",,0
"(Z)-1,3,3,3-Tetrafluoroprop-1-ene",,0
"2,3,3,3-Tetrafluoroprop-1-ene",,0
"(E)-1,3,3,3-Tetrafluoroprop-1-ene",,0
"(Z)-1,1,1,4,4,4-Hexafluorobut-2-ene",,0
"3,3,3-Trifluoroprop-1-ene",,0
"3,3,4,4,4-Pentafluorobut-1-ene",,0
"3,3,4,4,5,5,6,6,6-Nonafluorohex-1-ene",,0
"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooct-1-ene",,0
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodec-1-ene",,0
"1,1,1-Trichloroethane",,34
"Perchloromethane, tetrachloromethane",,1569
Chloromethane,,2
Dichloromethane,,2
Trichloromethane,,3
"1,2-Dichloroethane",,0
Bromomethane,,0
Dibromomethane,,0
Bromodifluoromethane,,80
Dibromodifluoromethane,,42
Bromochlorodifluoromethane,,1132
Bromotrifluoromethane,,6746
"2-Bromo-1,1,1-trifluoroethane",,33
"2-Bromo-2-chloro-1,1,1-trifluoroethane",,7
"2-Bromo-1,1,1,2-tetrafluoroethane",,34
"1,2-Dibromo-1,1,2,2-tetrafluoroethane",,1148
Nitrogen trifluoride,,16504
Sulphur hexafluoride,,23795
(Trifluoromethyl)sulfur pentafluoride,,17810
Sulfuryl fluoride,,4137
"Perfluoromethane, tetrafluoromethane",,6689
Perfluoroethane,,11237
Perfluorocyclopropane,,9312
Perfluoropropane,,9015
Perfluorocyclobutane,,9661
Perfluorobutane,,9321
Perfluorocyclopentene,,0
Perfluoropentane,,8646
Perfluorohexane,,8009
Perfluoroheptane,,7919
Perfluorodecalin (mixed),,7286
Perfluorodecalin (cis),,7337
Perfluorodecalin (trans),,6376
Perfluoroethene,,0
Perfluoropropene,,0
"Perfluorobuta-1,3-diene",,0
Perfluorobut-1-ene,,0
Perfluorobut-2-ene,,0
(Difluoromethoxy)trifluoromethane,,13207
(Difluoromethoxy)difluoromethane,,4898
Trifluoro(methoxy)methane,,108
"1,1,1,2-Tetrafluoro-2-(trifluoromethoxy)ethane",,6849
"2-Chloro-1-(difluoromethoxy)-1,1,2-trifluoroethane",,116
"2-Chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",,93
"1-(Difluoromethoxy)-1,1,2,2-tetrafluoroethane",,3399
"2-(Difluoromethoxy)-1,1,1,2-tetrafluoroethane",,753
"1,1,1-Trifluoro-2-(trifluoromethoxy)ethane",,273
"1,1,1,2,2-Pentafluoro-2-methoxy-ethane",,136
"1,1-Difluoro-2-(trifluoromethoxy)ethane",,206
"2-(Difluoromethoxy)-1,1,1-trifluoroethane",,179
"2,2,3,3,3-Pentafluoropropan-1-ol",,3
"1,1,2,2-Tetrafluoro-1-methoxyethane",,54
"1,1,1-Trifluoro-2-methoxyethane",,0
"1,1,2,2-Tetrafluoro-1-(trifluoromethoxy)ethane",,5
"3,3,3-Trifluoropropan-1-ol",,0
"1,1,1,2,2-Pentafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane",,2582
"2-(Difluoromethoxy)-1,1,1,3,3,3-hexafluoropropane",,2127
"1,1,1,2,2-Pentafluoro-2-(2,2,2-trifluoroethoxy)ethane",,259
"1,1,1,3,3,3-Hexafluoro-2-(fluoromethoxy)propane",,38
"1,1,1,2,2,3,3-Heptafluoro-3-methoxypropane",,111
"1-(2,2-Difluoroethoxy)-1,1,2,2,2-pentafluoroethane",,212
"1,1,2,2-Tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane",,206
"1,1,1,2,3,3,3-Heptafluoro-2-methoxypropane",,69
"1,1,1,2,3,3-Hexafluoro-3-methoxypropane",,74
"1-(2,2-Difluoroethoxy)-1,1,2,2-tetrafluoroethane",,162
"3-(Difluoromethoxy)-1,1,2,2-tetrafluoropropane",,84
"1,1,2,2,3,3-Hexafluoro-1-methoxypropane",,79
"1,1,1,3,3,3-Hexafluoro-2-methoxypropane",,2
"1,1,1,2,2-Pentafluoro-3-methoxypropane",,0
"1-Ethoxy-1,1,2,2,2-pentafluoroethane",,10
"1-Ethoxy-1,1,2,2-tetrafluoroethane",,132
"4,4,4-Trifluorobutan-1-ol",,0
"1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)-2-propanol",,
"2,2,3,3,4,4,5,5-Octafluorocyclopentanol",,2
"1-(Difluoromethoxy)-2-((difluoromethoxy)difluoromethoxy)-1,1,2,2-tetrafluoroethane",,1533
"1,1,1,2,2,3,3,4,4-Nonafluoro-4-methoxybutane",,86
"1-Ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane",,10
Bis(difluoromethoxy)difluoromethane,,4770
"1,2-Bis(difluoromethoxy)-1,1,2,2-tetrafluoroethane",,1505
"1,1,1,3,3,3-Hexafluoropropan-2-ol",,32
