Name,,GWP 20-yr
Trichlorofluoromethane,,6898
Dichlorodifluoromethane,,10794
Chlorotrifluoromethane,,10863
"1,1,2-Trichloro-1,2,2-trifluoroethane",,6490
"1,2-Dichloro-1,1,2,2-tetrafluoroethane",,7712
"1-Chloro-1,1,2,2,2-pentafluoroethane",,5859
Dichlorofluoromethane,,543
Chlorodifluoromethane,,5280
"1,1,2-Trichloro-2,2-difluoroethane",,218
"1,1,2-Trichloro-1,2-difluoroethane",,945
"2,2-Dichloro-1,1,1-trifluoroethane",,292
"1,2-Dichloro-1,1,2-trifluoroethane",,1350
"2-Chloro-1,1,1,2-tetrafluoroethane",,1870
"1,1-Dichloro-1,2-difluoroethane",,1232
"1,1-Dichloro-1-fluoroethane",,2548
"1-Chloro-1,1-difluoroethane",,5024
"3,3-Dichloro-1,1,1,2,2-pentafluoropropane",,469
"1,3-Dichloro-1,1,2,2,3-pentafluoropropane",,1864
"(E)-1-Chloro-3,3,3-trifluoroprop-1-ene",,5
Trifluoromethane,,10827
Difluoromethane,,2435
Fluoromethane,,427
"1,1,1,2,2-Pentafluoroethane",,6094
"1,1,2,2-Tetrafluoroethane",,3580
"1,1,1,2-Tetrafluoroethane",,3710
"1,1,2-Trifluoroethane",,1202
"1,1,1-Trifluoroethane",,6941
"1,2-Difluoroethane",,60
"1,1-Difluoroethane",,506
Fluoroethane,,13
"1,1,1,2,2,3,3-Heptafluoropropane",,5080
"1,1,1,2,3,3,3-Heptafluoropropane",,5358
"1,1,1,2,2,3-Hexafluoropropane",,3476
"1,1,1,2,3,3-Hexafluoropropane",,4111
"1,1,1,3,3,3-Hexafluoropropane",,6940
"1,1,2,2,3-Pentafluoropropane",,2510
"1,1,1,2,2-Pentafluoropropane",,6678
"1,1,2,3,3-Pentafluoropropane",,863
"1,1,1,2,3-Pentafluoropropane",,1065
"1,1,1,3,3-Pentafluoropropane",,2920
"1,1,1-Trifluoropropane",,278
"2,2-Difluoropropane",,530
"1,1,1,2,2,3,3,4,4-Nonafluorobutane",,4510
"1,1,1,3,3-Pentafluorobutane",,2661
"1,1,1,2,2,3,4,5,5,5-Decafluoropentane",,4315
"1,1-Difluoroethene",,0
Fluoroethene,,0
"(Z)-1,2,3,3,3-Pentafluoroprop-1-ene",,1
"(E)-1,2,3,3,3-Pentafluoroprop-1-ene",,0
"(Z)-1,3,3,3-Tetrafluoroprop-1-ene",,1
"2,3,3,3-Tetrafluoroprop-1-ene",,1
"(E)-1,3,3,3-Tetrafluoroprop-1-ene",,4
"(Z)-1,1,1,4,4,4-Hexafluorobut-2-ene",,6
"3,3,3-Trifluoroprop-1-ene",,1
"3,3,4,4,4-Pentafluorobut-1-ene",,0
"3,3,4,4,5,5,6,6,6-Nonafluorohex-1-ene",,0
"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooct-1-ene",,0
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodec-1-ene",,0
"1,1,1-Trichloroethane",,578
"Perchloromethane, tetrachloromethane",,3484
Chloromethane,,45
Dichloromethane,,33
Trichloromethane,,60
"1,2-Dichloroethane",,3
Bromomethane,,9
Dibromomethane,,4
Bromodifluoromethane,,1352
Dibromodifluoromethane,,848
Bromochlorodifluoromethane,,4590
Bromotrifluoromethane,,7801
"2-Bromo-1,1,1-trifluoroethane",,635
"2-Bromo-2-chloro-1,1,1-trifluoroethane",,151
"2-Bromo-1,1,1,2-tetrafluoroethane",,674
"1,2-Dibromo-1,1,2,2-tetrafluoroethane",,3444
Nitrogen trifluoride,,12779
Sulphur hexafluoride,,17500
(Trifluoromethyl)sulfur pentafluoride,,13479
Sulfuryl fluoride,,6841
"Perfluoromethane, tetrafluoromethane",,4875
Perfluoroethane,,8211
Perfluorocyclopropane,,6853
Perfluoropropane,,6644
Perfluorocyclobutane,,7106
Perfluorobutane,,6870
Perfluorocyclopentene,,7
Perfluoropentane,,6345
Perfluorohexane,,5892
Perfluoroheptane,,5828
Perfluorodecalin (mixed),,5389
Perfluorodecalin (cis),,5427
Perfluorodecalin (trans),,4716
Perfluoroethene,,0
Perfluoropropene,,0
"Perfluorobuta-1,3-diene",,0
Perfluorobut-1-ene,,0
Perfluorobut-2-ene,,6
(Difluoromethoxy)trifluoromethane,,12409
(Difluoromethoxy)difluoromethane,,11636
Trifluoro(methoxy)methane,,1894
"1,1,1,2-Tetrafluoro-2-(trifluoromethoxy)ethane",,8903
"2-Chloro-1-(difluoromethoxy)-1,1,2-trifluoroethane",,2123
"2-Chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",,1799
"1-(Difluoromethoxy)-1,1,2,2-tetrafluoroethane",,9712
