Name,Lifetime (yr)
Trichlorofluoromethane,45
Dichlorodifluoromethane,100
Chlorotrifluoromethane,640
"1,1,2-Trichloro-1,2,2-trifluoroethane",85
"1,2-Dichloro-1,1,2,2-tetrafluoroethane",190
"1-Chloro-1,1,2,2,2-pentafluoroethane",1020
Dichlorofluoromethane,1.7
Chlorodifluoromethane,11.9
"1,1,2-Trichloro-2,2-difluoroethane",0.97
"1,1,2-Trichloro-1,2-difluoroethane",3.4
"2,2-Dichloro-1,1,1-trifluoroethane",1.3
"1,2-Dichloro-1,1,2-trifluoroethane",4
"2-Chloro-1,1,1,2-tetrafluoroethane",5.9
"1,1-Dichloro-1,2-difluoroethane",4.3
"1,1-Dichloro-1-fluoroethane",9.2
"1-Chloro-1,1-difluoroethane",17.2
"3,3-Dichloro-1,1,1,2,2-pentafluoropropane",1.9
"1,3-Dichloro-1,1,2,2,3-pentafluoropropane",5.9
"(E)-1-Chloro-3,3,3-trifluoroprop-1-ene",0.0712
Trifluoromethane,222
Difluoromethane,5.2
Fluoromethane,2.8
"1,1,1,2,2-Pentafluoroethane",28.2
"1,1,2,2-Tetrafluoroethane",9.7
"1,1,1,2-Tetrafluoroethane",13.4
"1,1,2-Trifluoroethane",3.5
"1,1,1-Trifluoroethane",47.1
"1,2-Difluoroethane",0.4
"1,1-Difluoroethane",1.5
Fluoroethane,0.1808
"1,1,1,2,2,3,3-Heptafluoropropane",28.2
"1,1,1,2,3,3,3-Heptafluoropropane",38.9
"1,1,1,2,2,3-Hexafluoropropane",13.1
"1,1,1,2,3,3-Hexafluoropropane",11
"1,1,1,3,3,3-Hexafluoropropane",242
"1,1,2,2,3-Pentafluoropropane",6.5
"1,1,1,2,2-Pentafluoropropane",47.1
"1,1,2,3,3-Pentafluoropropane",3.2
"1,1,1,2,3-Pentafluoropropane",3.1
"1,1,1,3,3-Pentafluoropropane",7.7
"1,1,1-Trifluoropropane",1.2
"2,2-Difluoropropane",2.6
"1,1,1,2,2,3,3,4,4-Nonafluorobutane",28.4
"1,1,1,3,3-Pentafluorobutane",8.7
"1,1,1,2,2,3,4,5,5,5-Decafluoropentane",16.1
"1,1-Difluoroethene",0.011
Fluoroethene,0.0058
"(Z)-1,2,3,3,3-Pentafluoroprop-1-ene",0.0233
"(E)-1,2,3,3,3-Pentafluoroprop-1-ene",0.0134
"(Z)-1,3,3,3-Tetrafluoroprop-1-ene",0.0274
"2,3,3,3-Tetrafluoroprop-1-ene",0.0288
"(E)-1,3,3,3-Tetrafluoroprop-1-ene",0.0449
"(Z)-1,1,1,4,4,4-Hexafluorobut-2-ene",0.0603
"3,3,3-Trifluoroprop-1-ene",0.0192
"3,3,4,4,4-Pentafluorobut-1-ene",0.0208
"3,3,4,4,5,5,6,6,6-Nonafluorohex-1-ene",0.0208
"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooct-1-ene",0.0208
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodec-1-ene",0.0208
"1,1,1-Trichloroethane",5
"Perchloromethane, tetrachloromethane",26
Chloromethane,1
Dichloromethane,0.3945
Trichloromethane,0.4082
"1,2-Dichloroethane",0.1781
Bromomethane,0.8
Dibromomethane,0.337
Bromodifluoromethane,5.2
Dibromodifluoromethane,2.9
Bromochlorodifluoromethane,16
Bromotrifluoromethane,65
"2-Bromo-1,1,1-trifluoroethane",3.4
"2-Bromo-2-chloro-1,1,1-trifluoroethane",1
"2-Bromo-1,1,1,2-tetrafluoroethane",2.9
"1,2-Dibromo-1,1,2,2-tetrafluoroethane",20
Nitrogen trifluoride,500
Sulphur hexafluoride,3200
(Trifluoromethyl)sulfur pentafluoride,800
Sulfuryl fluoride,36
"Perfluoromethane, tetrafluoromethane",50000
Perfluoroethane,10000
Perfluorocyclopropane,3000
Perfluoropropane,2600
Perfluorocyclobutane,3200
Perfluorobutane,2600
Perfluorocyclopentene,0.0849
Perfluoropentane,4100
Perfluorohexane,3100
Perfluoroheptane,3000
Perfluorodecalin (mixed),2000
Perfluorodecalin (cis),2000
Perfluorodecalin (trans),2000
Perfluoroethene,0.003
Perfluoropropene,0.0134
"Perfluorobuta-1,3-diene",0.003
Perfluorobut-1-ene,0.0164
Perfluorobut-2-ene,0.0849
(Difluoromethoxy)trifluoromethane,119
(Difluoromethoxy)difluoromethane,24.4
Trifluoro(methoxy)methane,4.8
"1,1,1,2-Tetrafluoro-2-(trifluoromethoxy)ethane",51.6
"2-Chloro-1-(difluoromethoxy)-1,1,2-trifluoroethane",4.3
"2-Chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",3.5
"1-(Difluoromethoxy)-1,1,2,2-tetrafluoroethane",20.8
"2-(Difluoromethoxy)-1,1,1,2-tetrafluoroethane",10.8
"1,1,1-Trifluoro-2-(trifluoromethoxy)ethane",7.5
"1,1,1,2,2-Pentafluoro-2-methoxy-ethane",4.9
"1,1-Difluoro-2-(trifluoromethoxy)ethane",6.6
"2-(Difluoromethoxy)-1,1,1-trifluoroethane",5.5
"2,2,3,3,3-Pentafluoropropan-1-ol",0.33
"1,1,2,2-Tetrafluoro-1-methoxyethane",2.5
"1,1,1-Trifluoro-2-methoxyethane",0.063
"1,1,2,2-Tetrafluoro-1-(trifluoromethoxy)ethane",0.43
"3,3,3-Trifluoropropan-1-ol",0.033
"1,1,1,2,2-Pentafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane",22.5
"2-(Difluoromethoxy)-1,1,1,3,3,3-hexafluoropropane",21.2
"1,1,1,2,2-Pentafluoro-2-(2,2,2-trifluoroethoxy)ethane",7.5
"1,1,1,3,3,3-Hexafluoro-2-(fluoromethoxy)propane",2.2
"1,1,1,2,2,3,3-Heptafluoro-3-methoxypropane",5
"1-(2,2-Difluoroethoxy)-1,1,2,2,2-pentafluoroethane",6.6
"1,1,2,2-Tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane",6
"1,1,1,2,3,3,3-Heptafluoro-2-methoxypropane",3.7
"1,1,1,2,3,3-Hexafluoro-3-methoxypropane",3.8
"1-(2,2-Difluoroethoxy)-1,1,2,2-tetrafluoroethane",5.7
"3-(Difluoromethoxy)-1,1,2,2-tetrafluoropropane",3.5
"1,1,2,2,3,3-Hexafluoro-1-methoxypropane",3.8
"1,1,1,3,3,3-Hexafluoro-2-methoxypropane",0.266
"1,1,1,2,2-Pentafluoro-3-methoxypropane",0.053
"1-Ethoxy-1,1,2,2,2-pentafluoroethane",0.59
"1-Ethoxy-1,1,2,2-tetrafluoroethane",5
"4,4,4-Trifluorobutan-1-ol",0.011
"1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)-2-propanol",
"2,2,3,3,4,4,5,5-Octafluorocyclopentanol",0.3
"1-(Difluoromethoxy)-2-((difluoromethoxy)difluoromethoxy)-1,1,2,2-tetrafluoroethane",13.5
"1,1,1,2,2,3,3,4,4-Nonafluoro-4-methoxybutane",4.7
