Name,Lifetime (yr),RE (W m-2 ppb-1),GWP 20-yr,GWP 100-yr,GWP 500-yr,GTP 20-yr,GTP 50-yr,GTP 100-yr
Trichlorofluoromethane,45,0.260,6898,4663,1491,6889,4888,2335
Dichlorodifluoromethane,100,0.318,10794,10239,4587,11266,10952,8448
Chlorotrifluoromethane,640,0.255,10863,13893,14846,11683,14218,15923
"1,1,2-Trichloro-1,2,2-trifluoroethane",85,0.302,6490,5824,2394,6731,6247,4474
"1,2-Dichloro-1,1,2,2-tetrafluoroethane",190,0.307,7712,8592,5555,8186,9022,8553
"1-Chloro-1,1,2,2,2-pentafluoroethane",1020,0.202,5859,7665,9068,6314,7806,8977
Dichlorofluoromethane,1.7,0.145,543,148,42,192,26,20
Chlorodifluoromethane,11.9,0.208,5280,1765,503,4196,832,262
"1,1,2-Trichloro-2,2-difluoroethane",0.97,0.168,218,59,17,70,10,8
"1,1,2-Trichloro-1,2-difluoroethane",3.4,0.209,945,258,74,426,48,36
"2,2-Dichloro-1,1,1-trifluoroethane",1.3,0.152,292,79,23,98,14,11
"1,2-Dichloro-1,1,2-trifluoroethane",4,0.230,1350,370,105,659,72,51
"2-Chloro-1,1,1,2-tetrafluoroethane",5.9,0.198,1870,527,150,1116,121,74
"1,1-Dichloro-1,2-difluoroethane",4.3,0.173,1232,338,96,624,67,47
"1,1-Dichloro-1-fluoroethane",9.2,0.162,2548,782,223,1853,271,111
"1-Chloro-1,1-difluoroethane",17.2,0.189,5024,1982,567,4393,1372,356
"3,3-Dichloro-1,1,1,2,2-pentafluoropropane",1.9,0.221,469,127,36,170,22,18
"1,3-Dichloro-1,1,2,2,3-pentafluoropropane",5.9,0.293,1864,525,150,1112,120,73
"(E)-1-Chloro-3,3,3-trifluoroprop-1-ene",0.0712,0.044,5,1,0,2,0,0
Trifluoromethane,222,0.175,10827,12398,8721,11524,12960,12709
Difluoromethane,5.2,0.110,2435,677,193,1362,145,94
Fluoromethane,2.8,0.023,427,116,33,177,21,16
"1,1,1,2,2-Pentafluoroethane",28.2,0.226,6094,3169,930,5797,2977,967
"1,1,2,2-Tetrafluoroethane",9.7,0.191,3580,1116,318,2656,412,160
"1,1,1,2-Tetrafluoroethane",13.4,0.161,3710,1301,371,3053,703,201
"1,1,2-Trifluoroethane",3.5,0.128,1202,328,94,549,62,46
