,Name,smiles,Lifetime (yr),RE (W m-2 ppb-1),GWP 20-yr,GWP 100-yr,GWP 500-yr,GTP 20-yr,GTP 50-yr,GTP 100-yr
0,Trichlorofluoromethane,C(F)(Cl)(Cl)Cl,45,0.26,6898,4663,1491,6889,4888,2335
1,Dichlorodifluoromethane,C(F)(F)(Cl)Cl,100,0.318,10794,10239,4587,11266,10952,8448
2,Chlorotrifluoromethane,C(F)(F)(F)Cl,640,0.255,10863,13893,14846,11683,14218,15923
3,"1,1,2-Trichloro-1,2,2-trifluoroethane",C(C(F)(Cl)Cl)(F)(F)Cl,85,0.302,6490,5824,2394,6731,6247,4474
4,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",C(C(F)(F)Cl)(F)(F)Cl,190,0.307,7712,8592,5555,8186,9022,8553
5,"1-Chloro-1,1,2,2,2-pentafluoroethane",C(C(F)(F)Cl)(F)(F)F,1020,0.202,5859,7665,9068,6314,7806,8977
6,Dichlorofluoromethane,C(F)(Cl)Cl,1.7,0.145,543,148,42,192,26,20
7,Chlorodifluoromethane,C(F)(F)Cl,11.9,0.208,5280,1765,503,4196,832,262
8,"1,1,2-Trichloro-2,2-difluoroethane",C(C(F)(F)Cl)(Cl)Cl,0.97,0.168,218,59,17,70,10,8
9,"1,1,2-Trichloro-1,2-difluoroethane",C(C(F)(Cl)Cl)(F)Cl,3.4,0.209,945,258,74,426,48,36
10,"2,2-Dichloro-1,1,1-trifluoroethane",C(C(F)(F)F)(Cl)Cl,1.3,0.152,292,79,23,98,14,11
11,"1,2-Dichloro-1,1,2-trifluoroethane",C(C(F)(F)Cl)(F)Cl,4,0.23,1350,370,105,659,72,51
12,"2-Chloro-1,1,1,2-tetrafluoroethane",C(C(F)(F)F)(F)Cl,5.9,0.198,1870,527,150,1116,121,74
13,"1,1-Dichloro-1,2-difluoroethane",C(C(F)(Cl)Cl)F,4.3,0.173,1232,338,96,624,67,47
14,"1,1-Dichloro-1-fluoroethane",CC(F)(Cl)Cl,9.2,0.162,2548,782,223,1853,271,111
15,"1-Chloro-1,1-difluoroethane",CC(F)(F)Cl,17.2,0.189,5024,1982,567,4393,1372,356
16,"3,3-Dichloro-1,1,1,2,2-pentafluoropropane",C(C(C(F)(F)F)(F)F)(Cl)Cl,1.9,0.221,469,127,36,170,22,18
17,"1,3-Dichloro-1,1,2,2,3-pentafluoropropane",C(C(C(F)(F)Cl)(F)F)(F)Cl,5.9,0.293,1864,525,150,1112,120,73
18,"(E)-1-Chloro-3,3,3-trifluoroprop-1-ene",C(=C/Cl)\C(F)(F)F,0.0712,0.044,5,1,0,2,0,0
19,Trifluoromethane,C(F)(F)F,222,0.175,10827,12398,8721,11524,12960,12709
20,Difluoromethane,C(F)F,5.2,0.11,2435,677,193,1362,145,94
21,Fluoromethane,CF,2.8,0.023,427,116,33,177,21,16
22,"1,1,1,2,2-Pentafluoroethane",C(C(F)(F)F)(F)F,28.2,0.226,6094,3169,930,5797,2977,967
23,"1,1,2,2-Tetrafluoroethane",C(C(F)F)(F)F,9.7,0.191,3580,1116,318,2656,412,160
24,"1,1,1,2-Tetrafluoroethane",C(C(F)(F)F)F,13.4,0.161,3710,1301,371,3053,703,201
25,"1,1,2-Trifluoroethane",C(C(F)F)F,3.5,0.128,1202,328,94,549,62,46
26,"1,1,1-Trifluoroethane",CC(F)(F)F,47.1,0.158,6941,4804,1556,6957,5061,2505
27,"1,2-Difluoroethane",C(CF)F,0.4,0.044,60,16,5,18,3,2
28,"1,1-Difluoroethane",CC(F)F,1.5,0.098,506,138,39,174,24,19
29,Fluoroethane,CCF,0.1808,0.016,13,4,1,4,1,1
30,"1,1,1,2,2,3,3-Heptafluoropropane",C(C(C(F)(F)F)(F)F)(F)F,28.2,0.267,5080,2642,776,4833,2482,806
31,"1,1,1,2,3,3,3-Heptafluoropropane",C(C(F)(F)F)(C(F)(F)F)F,38.9,0.258,5358,3348,1034,5283,3436,1460
32,"1,1,1,2,2,3-Hexafluoropropane",C(C(C(F)(F)F)(F)F)F,13.1,0.228,3476,1207,344,2842,636,185
33,"1,1,1,2,3,3-Hexafluoropropane",C(C(F)F)(C(F)(F)F)F,11,0.3,4111,1335,381,3187,573,195
34,"1,1,1,3,3,3-Hexafluoropropane",C(C(F)(F)F)C(F)(F)F,242,0.243,6940,8056,5926,7397,8401,8377
35,"1,1,2,2,3-Pentafluoropropane",C(C(C(F)F)(F)F)F,6.5,0.24,2510,716,204,1570,176,100
