,smiles,GWP100,LT,RE,lip,sol,GWP
10,C(C(F)(Cl)Cl)(Cl)Cl,1.751501441,-0.1047921479,-0.7637057304,0.1526619941,-2.6028528214,56.4288813669
7,C(C(F)(F)Cl)(Cl)Cl,1.7792030573,-0.0606458224,-0.6763293147,-0.0336286277,-1.8879404068,60.1454886006
6805,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)Cl)(F)F)(F)F)(F)F)(Cl)F)(Cl)Cl,1.8371129036,0.6755328774,-0.679309845,0.1717702895,-4.5296492577,68.7247080509
8263,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(Cl)Cl)(F)F)(F)F)(F)F)(Cl)F)(Cl)Cl,1.8438153267,0.7033824325,-0.6910076141,0.1718338281,-4.5251822472,69.7935560616
4618,C(C(C(C(C(C(C(C(F)(F)F)(F)F)(Cl)Cl)(F)F)(F)F)(F)F)(Cl)F)(Cl)Cl,1.8449556828,0.7615509033,-0.6437062025,0.1294993311,-4.4953804016,69.9770584809
6076,C(C(C(C(C(C(C(C(F)(F)F)(Cl)F)(Cl)Cl)(F)F)(F)F)(F)F)(Cl)F)(Cl)Cl,1.848326683,0.793305397,-0.6321947575,0.1297221929,-4.5033221245,70.522334944
7534,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(F)F)(F)F)(F)F)(Cl)F)(Cl)Cl,1.8504594564,0.7159346938,-0.6319465041,0.1737983376,-4.533759594,70.8695143136
11908,C(C(C(C(C(C(C(C(F)(Cl)Cl)(Cl)Cl)(Cl)Cl)(F)F)(F)F)(F)F)(Cl)F)(Cl)Cl,1.8519698381,0.7210715413,-0.6674456596,0.1707198769,-4.5173721313,71.1164121417
8425,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)F)(F)F)(F)F)(Cl)F)(Cl)Cl,1.8523386717,0.6774273515,-0.6900106072,0.1721804291,-4.5805134773,71.1768348748
11179,C(C(C(C(C(C(C(C(F)(Cl)Cl)(F)F)(Cl)Cl)(F)F)(F)F)(F)F)(Cl)F)(Cl)Cl,1.8532810211,0.7356243134,-0.662225008,0.1649158746,-4.5000743866,71.3314448798
