,smiles,GWP100,log(GWP100),log(LT),log(RE),log(lip),log(sol)
379,C(CCl)Br,0.9826448195,-0.0076034311,-0.7581905127,-1.5137851238,0.0074866554,-1.7865655422
398,C(CBr)Cl,0.9826448195,-0.0076034311,-0.7581905127,-1.5137851238,0.0074866554,-1.7865655422
378,C(CCl)Cl,1.2612531968,0.10080228,-0.7307494879,-1.416495204,0.0262067467,-1.6356213093
399,C(CBr)Br,1.3050887669,0.1156400517,-0.7248216271,-1.5995824337,0.0252258927,-1.8914264441
2199,C(C(C(F)(Cl)Br)(Cl)(Br)Br)Br,2.3088073903,0.3633877039,-0.5648310184,-0.7527883053,-0.0560272187,-3.422055006
3989,C(C(C(Cl)(Cl)Br)Br)(Cl)(Br)Br,2.3088077072,0.3633877635,-0.5648310184,-0.7527883053,-0.0560272187,-3.422055006
1839,C(C(C(F)(Cl)Cl)(F)F)Br,2.5770520266,0.4111231863,-0.2986177206,-1.1291275024,-0.0524440855,-3.5555026531
3987,C(C(C(Cl)(Cl)Br)Br)(Cl)(Cl)Cl,2.5770520266,0.4111231863,-0.2986177206,-1.1291275024,-0.0524440855,-3.5555026531
1119,C(C(C(F)(F)Cl)(Cl)Br)Br,2.6240552143,0.4189729691,-0.0969184637,-0.9801098108,-0.0975121707,-3.3269672394
3983,C(C(C(Cl)(Cl)Br)Br)(F)(Cl)Cl,2.6240552143,0.4189729691,-0.0969184637,-0.9801098704,-0.0975121707,-3.3269672394
2019,C(C(C(F)(Cl)Br)(F)(F)F)Br,2.6779294753,0.4277991354,-0.4674758911,-0.8937017918,-0.0596856922,-3.5062315464
3988,C(C(C(Cl)(Cl)Br)Br)(Cl)(Cl)Br,2.6779298428,0.4277991951,-0.4674758315,-0.8937017322,-0.0596856922,-3.5062315464
358,C(CF)Cl,2.6840617709,0.4287925065,-0.6035429239,-1.2908672094,-0.0294859856,-1.6758238077
377,C(CCl)F,2.6840617709,0.4287925065,-0.6035429239,-1.2908672094,-0.0294859856,-1.6758238077
3985,C(C(C(Cl)(Cl)Br)Br)(F)(Br)Cl,2.8152257535,0.4495132267,-0.4377382398,-0.7724378705,-0.1152558774,-3.0829503536
1299,C(C(C(F)(F)Br)(F)(Cl)Br)Br,2.8152261399,0.4495132864,-0.437738359,-0.7724376917,-0.1152558774,-3.0829503536
1479,C(C(C(F)(F)Br)(F)Br)Br,2.8152261399,0.4495132864,-0.4377382398,-0.7724378109,-0.1152558774,-3.0829503536
3984,C(C(C(Cl)(Cl)Br)Br)(F)(Cl)Br,2.8152261399,0.4495132864,-0.437738359,-0.7724378109,-0.1152558774,-3.082950592
359,C(CF)Br,3.1752379607,0.501776278,-0.5529581308,-1.3704562187,-0.0200792402,-1.7109379768
397,C(CBr)F,3.1752379607,0.501776278,-0.5529581308,-1.3704562187,-0.0200792402,-1.7109379768
2379,C(C(C(F)(Cl)Br)Cl)Br,3.1764165414,0.501937449,-0.6099950671,-0.7882986665,-0.0698337406,-3.7590885162
3990,C(C(C(Cl)(Cl)Br)Br)(Br)(Br)Br,3.1764165414,0.501937449,-0.6099950075,-0.7882985473,-0.0698337406,-3.7590887547
2179,C(C(C(F)(Cl)Br)(Cl)(Cl)Br)Br,3.2466181872,0.5114312172,-0.6082883477,-0.746660471,-0.0261314958,-3.2292938232
3969,C(C(C(Cl)(Cl)Br)Cl)(Cl)(Br)Br,3.2466186328,0.5114312768,-0.6082883477,-0.746660471,-0.0261315554,-3.2292938232
2198,C(C(C(F)(Cl)Br)(Cl)(Br)Br)Cl,3.3121505636,0.5201100707,-0.6156836152,-0.7379423976,-0.0642245263,-3.269538641
3809,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(Cl)(Br)Br,3.3121505636,0.5201100707,-0.6156836152,-0.7379423976,-0.0642245859,-3.2695388794
1999,C(C(C(F)(Cl)Cl)Br)Br,3.3981677536,0.5312448144,-0.5446978807,-0.9086014032,-0.0440276712,-3.3552925587
3968,C(C(C(Cl)(Cl)Br)Cl)(Cl)(Cl)Br,3.3981677536,0.5312448144,-0.5446978807,-0.9086012244,-0.0440276712,-3.3552925587
3119,C(C(C(F)(Br)Br)(Cl)Br)Br,3.4410195155,0.5366871357,-0.0128366388,-0.897288084,0.0018931767,-1.914853096
3835,C(C(C(Cl)(Cl)Br)(F)F)(Cl)Br,3.4410199877,0.5366871953,-0.0128366388,-0.897288084,0.0018933555,-1.914853096
1099,C(C(C(F)(F)Cl)(Cl)Cl)Br,3.5101978617,0.5453315973,-0.1504861712,-0.9468972683,-0.0705723614,-3.0420124531
3963,C(C(C(Cl)(Cl)Br)Cl)(F)(Cl)Cl,3.5101978617,0.5453315973,-0.1504861712,-0.9468972683,-0.070572421,-3.0420124531
1118,C(C(C(F)(F)Cl)(Cl)Br)Cl,3.6035718942,0.556733191,-0.1044850349,-1.0031509399,-0.1329821795,-3.2110824585
3803,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(F)(Cl)Cl,3.6035723888,0.5567332506,-0.1044850349,-1.0031509399,-0.1329821795,-3.2110824585
3139,C(C(C(F)(Br)Br)(Br)Br)Br,3.6044444238,0.5568383336,-0.1060501337,-0.7746692896,0.0772335082,-2.3307523727
3855,C(C(C(Cl)(Cl)Br)(F)Cl)(Cl)Br,3.6044449184,0.5568383932,-0.1060500145,-0.77466923,0.0772335082,-2.3307523727
3179,C(C(C(F)(Br)Br)Cl)Br,3.6773821527,0.565538764,-0.2177208662,-0.7378646135,0.0746478587,-2.7320771217
3895,C(C(C(Cl)(Cl)Br)(Cl)Cl)(Cl)Br,3.6773826574,0.5655388236,-0.2177208662,-0.7378645539,0.0746478587,-2.7320771217
3804,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(F)(Cl)Br,3.7769649435,0.5771429539,-0.4453758001,-0.7963375449,-0.143269226,-3.0016341209
1298,C(C(C(F)(F)Br)(F)(Cl)Br)Cl,3.7769654619,0.5771430135,-0.4453757405,-0.7963376045,-0.143269226,-3.0016341209
1478,C(C(C(F)(F)Br)(F)Br)Cl,3.7769659802,0.5771430731,-0.4453758001,-0.7963373661,-0.1432691664,-3.0016343594
3805,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(F)(Br)Cl,3.7769664986,0.5771431327,-0.4453758001,-0.7963373661,-0.1432691664,-3.0016341209
759,C(C(C(F)(F)F)F)Br,3.9134996389,0.5925652981,-0.0052555241,-0.8176611662,-0.0976145118,-2.6061723232
3981,C(C(C(Cl)(Cl)Br)Br)(F)(F)Cl,3.9134996389,0.5925652981,-0.0052556433,-0.8176611066,-0.0976145118,-2.6061720848
3807,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(Cl)(Cl)Cl,3.9930408781,0.6013037562,-0.3499416113,-1.1790552139,-0.0690090507,-3.408891201
1838,C(C(C(F)(Cl)Cl)(F)F)Cl,3.9930414261,0.6013038158,-0.3499416709,-1.1790552139,-0.0690090507,-3.408891201
2018,C(C(C(F)(Cl)Br)(F)(F)F)Cl,4.0207156467,0.60430336,-0.5337188244,-0.8894301653,-0.0753602237,-3.405983448
3808,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(Cl)(Cl)Br,4.0207156467,0.60430336,-0.5337188244,-0.8894300461,-0.0753602237,-3.4059832096
3965,C(C(C(Cl)(Cl)Br)Cl)(F)(Br)Cl,4.0550267357,0.607993722,-0.4603726864,-0.799764812,-0.0716745108,-2.8671059608
1459,C(C(C(F)(F)Br)(F)Cl)Br,4.0550272923,0.6079937816,-0.4603726864,-0.7997647524,-0.0716745108,-2.8671057224
1279,C(C(C(F)(F)Br)(F)(Cl)Cl)Br,4.0550278488,0.6079938412,-0.4603726864,-0.799764812,-0.0716745108,-2.8671059608
3964,C(C(C(Cl)(Cl)Br)Cl)(F)(Cl)Br,4.0550278488,0.6079938412,-0.4603726864,-0.7997648716,-0.0716745108,-2.8671059608
3982,C(C(C(Cl)(Cl)Br)Br)(F)(F)Br,4.1121046349,0.614064157,-0.2154918313,-0.7361379862,-0.0416056961,-2.4758479595
939,C(C(C(F)(F)Cl)(F)(Br)Br)Br,4.1121051993,0.6140642166,-0.2154918313,-0.7361381054,-0.0416056961,-2.4758477211
1659,C(C(C(F)(Cl)Cl)(F)(F)Br)Br,4.1130506192,0.6141640544,-0.4794592857,-0.7584135532,-0.1052729934,-2.8985953331
3986,C(C(C(Cl)(Cl)Br)Br)(F)(Br)Br,4.1130517482,0.6141641736,-0.4794592857,-0.7584135532,-0.1052729934,-2.8985953331
1819,C(C(C(F)(Cl)Cl)(Br)(Br)Br)Br,4.223083451,0.6256296635,-0.3595536947,-1.1600672007,-0.0348493904,-3.3522753716
3967,C(C(C(Cl)(Cl)Br)Cl)(Cl)(Cl)Cl,4.2230851898,0.6256298423,-0.3595536351,-1.1600670815,-0.0348493904,-3.35227561
2378,C(C(C(F)(Cl)Br)Cl)Cl,4.6295202323,0.6655359864,-0.6595990062,-0.7876569629,-0.0588862747,-3.5930447578
3810,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(Br)(Br)Br,4.629521503,0.6655361056,-0.6595989466,-0.7876569629,-0.0588862747,-3.5930447578
3199,C(C(C(F)(Br)Br)Br)Br,4.6727011102,0.6695680022,-0.5577808619,-0.8709187508,0.0713030845,-2.8179616928
3915,C(C(C(Cl)(Cl)Br)(Cl)Br)(Cl)Br,4.6727011102,0.6695680022,-0.5577808619,-0.8709188104,0.0713032037,-2.8179616928
3138,C(C(C(F)(Br)Br)(Br)Br)Cl,5.0223867315,0.700910151,-0.2183094025,-0.7902337313,0.1337544471,-2.3217105865
3675,C(C(C(Cl)(Cl)Br)(F)(Cl)Cl)(Cl)Br,5.0223874208,0.7009102106,-0.2183095217,-0.7902337909,0.1337544471,-2.3217105865
2939,C(C(C(F)(Br)Br)(F)(Br)Br)Br,5.0545484411,0.703682363,-0.1954877973,-0.8989289403,0.0227455646,-1.5753595829
3834,C(C(C(Cl)(Cl)Br)(F)F)(Cl)Cl,5.0545484411,0.703682363,-0.1954877973,-0.8989291191,0.0227453858,-1.5753595829
758,C(C(C(F)(F)F)F)Cl,5.1103538563,0.708450973,0.0458087288,-0.8621895909,-0.1004023999,-2.4842357635
