,smiles,GWP,name
0,C(C(F)(F)F)(F)F,,
1,C(C(F)(F)F)(Cl)Cl,,
2,C(C(F)(F)F)(Cl)F,,
3,C(C(Cl)(Cl)Cl)(F)F,,
4,C(C(Cl)(Cl)Cl)(Cl)Cl,,
5,C(C(Cl)(Cl)Cl)(Cl)F,,
6,C(C(F)(F)Cl)(F)F,,
7,C(C(F)(F)Cl)(Cl)Cl,,
8,C(C(F)(F)Cl)(Cl)F,,
9,C(C(F)(Cl)Cl)(F)F,,
10,C(C(F)(Cl)Cl)(Cl)Cl,,
11,C(C(F)(Cl)Cl)(Cl)F,,
12,C(C(C(F)(F)F)(F)F)(F)F,,
13,C(C(C(F)(F)F)(F)F)(Cl)Cl,,
14,C(C(C(F)(F)F)(F)F)(Cl)F,,
15,C(C(C(F)(F)F)(Cl)Cl)(F)F,,
16,C(C(C(F)(F)F)(Cl)Cl)(Cl)Cl,,
17,C(C(C(F)(F)F)(Cl)Cl)(Cl)F,,
18,C(C(C(F)(F)F)(Cl)F)(F)F,,
19,C(C(C(F)(F)F)(Cl)F)(Cl)Cl,,
20,C(C(C(F)(F)F)(Cl)F)(Cl)F,,
21,C(C(C(Cl)(Cl)Cl)(F)F)(F)F,,
22,C(C(C(Cl)(Cl)Cl)(F)F)(Cl)Cl,,
23,C(C(C(Cl)(Cl)Cl)(F)F)(Cl)F,,
24,C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)F,,
25,C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl,,
26,C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)F,,
27,C(C(C(Cl)(Cl)Cl)(Cl)F)(F)F,,
28,C(C(C(Cl)(Cl)Cl)(Cl)F)(Cl)Cl,,
29,C(C(C(Cl)(Cl)Cl)(Cl)F)(Cl)F,,
30,C(C(C(F)(F)Cl)(F)F)(F)F,,
31,C(C(C(F)(F)Cl)(F)F)(Cl)Cl,,
32,C(C(C(F)(F)Cl)(F)F)(Cl)F,,
33,C(C(C(F)(F)Cl)(Cl)Cl)(F)F,,
34,C(C(C(F)(F)Cl)(Cl)Cl)(Cl)Cl,,
35,C(C(C(F)(F)Cl)(Cl)Cl)(Cl)F,,
36,C(C(C(F)(F)Cl)(Cl)F)(F)F,,
37,C(C(C(F)(F)Cl)(Cl)F)(Cl)Cl,,
38,C(C(C(F)(F)Cl)(Cl)F)(Cl)F,,
39,C(C(C(F)(Cl)Cl)(F)F)(F)F,,
40,C(C(C(F)(Cl)Cl)(F)F)(Cl)Cl,,
41,C(C(C(F)(Cl)Cl)(F)F)(Cl)F,,
42,C(C(C(F)(Cl)Cl)(Cl)Cl)(F)F,,
43,C(C(C(F)(Cl)Cl)(Cl)Cl)(Cl)Cl,,
44,C(C(C(F)(Cl)Cl)(Cl)Cl)(Cl)F,,
45,C(C(C(F)(Cl)Cl)(Cl)F)(F)F,,
46,C(C(C(F)(Cl)Cl)(Cl)F)(Cl)Cl,,
47,C(C(C(F)(Cl)Cl)(Cl)F)(Cl)F,,
48,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,,
49,C(C(C(C(F)(F)F)(F)F)(F)F)(Cl)Cl,,
50,C(C(C(C(F)(F)F)(F)F)(F)F)(Cl)F,,
51,C(C(C(C(F)(F)F)(F)F)(Cl)Cl)(F)F,,
52,C(C(C(C(F)(F)F)(F)F)(Cl)Cl)(Cl)Cl,,
53,C(C(C(C(F)(F)F)(F)F)(Cl)Cl)(Cl)F,,
54,C(C(C(C(F)(F)F)(F)F)(Cl)F)(F)F,,
55,C(C(C(C(F)(F)F)(F)F)(Cl)F)(Cl)Cl,,
56,C(C(C(C(F)(F)F)(F)F)(Cl)F)(Cl)F,,
57,C(C(C(C(F)(F)F)(Cl)Cl)(F)F)(F)F,,
58,C(C(C(C(F)(F)F)(Cl)Cl)(F)F)(Cl)Cl,,
59,C(C(C(C(F)(F)F)(Cl)Cl)(F)F)(Cl)F,,
60,C(C(C(C(F)(F)F)(Cl)Cl)(Cl)Cl)(F)F,,
61,C(C(C(C(F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,,
62,C(C(C(C(F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)F,,
63,C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(F)F,,
64,C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl,,
65,C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(Cl)F,,
66,C(C(C(C(F)(F)F)(Cl)F)(F)F)(F)F,,
67,C(C(C(C(F)(F)F)(Cl)F)(F)F)(Cl)Cl,,
68,C(C(C(C(F)(F)F)(Cl)F)(F)F)(Cl)F,,
69,C(C(C(C(F)(F)F)(Cl)F)(Cl)Cl)(F)F,,
70,C(C(C(C(F)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,,
71,C(C(C(C(F)(F)F)(Cl)F)(Cl)Cl)(Cl)F,,
72,C(C(C(C(F)(F)F)(Cl)F)(Cl)F)(F)F,,
73,C(C(C(C(F)(F)F)(Cl)F)(Cl)F)(Cl)Cl,,
74,C(C(C(C(F)(F)F)(Cl)F)(Cl)F)(Cl)F,,
75,C(C(C(C(Cl)(Cl)Cl)(F)F)(F)F)(F)F,,
76,C(C(C(C(Cl)(Cl)Cl)(F)F)(F)F)(Cl)Cl,,
77,C(C(C(C(Cl)(Cl)Cl)(F)F)(F)F)(Cl)F,,
