,smiles,GWP,name
0,C(C(F)(F)F)(F)(F)F,,
1,C(C(F)(F)F)(F)F,,
2,C(C(F)(F)F)(F)Cl,,
3,C(C(F)(F)F)(F)Br,,
4,C(C(F)(F)F)(Cl)Cl,,
5,C(C(F)(F)F)(Cl)Br,,
6,C(C(F)(F)F)(Br)Br,,
7,C(C(F)(F)F)F,,
8,C(C(F)(F)F)Cl,,
9,C(C(F)(F)F)Br,,
10,C(C(F)(F)Cl)(F)(F)F,,
11,C(C(F)(F)Cl)(F)F,,
12,C(C(F)(F)Cl)(F)Cl,,
13,C(C(F)(F)Cl)(F)Br,,
14,C(C(F)(F)Cl)(Cl)Cl,,
15,C(C(F)(F)Cl)(Cl)Br,,
16,C(C(F)(F)Cl)(Br)Br,,
17,C(C(F)(F)Cl)F,,
18,C(C(F)(F)Cl)Cl,,
19,C(C(F)(F)Cl)Br,,
20,C(C(F)(F)Br)(F)(F)F,,
21,C(C(F)(F)Br)(F)F,,
22,C(C(F)(F)Br)(F)Cl,,
23,C(C(F)(F)Br)(F)Br,,
24,C(C(F)(F)Br)(Cl)Cl,,
25,C(C(F)(F)Br)(Cl)Br,,
26,C(C(F)(F)Br)(Br)Br,,
27,C(C(F)(F)Br)F,,
28,C(C(F)(F)Br)Cl,,
29,C(C(F)(F)Br)Br,,
30,C(C(F)(Cl)Cl)(F)(F)F,,
31,C(C(F)(Cl)Cl)(F)F,,
32,C(C(F)(Cl)Cl)(F)Cl,,
33,C(C(F)(Cl)Cl)(F)Br,,
34,C(C(F)(Cl)Cl)(Cl)Cl,,
35,C(C(F)(Cl)Cl)(Cl)Br,,
36,C(C(F)(Cl)Cl)(Br)Br,,
37,C(C(F)(Cl)Cl)F,,
38,C(C(F)(Cl)Cl)Cl,,
39,C(C(F)(Cl)Cl)Br,,
40,C(C(F)(Cl)Br)(F)(F)F,,
41,C(C(F)(Cl)Br)(F)F,,
42,C(C(F)(Cl)Br)(F)Cl,,
43,C(C(F)(Cl)Br)(F)Br,,
44,C(C(F)(Cl)Br)(Cl)Cl,,
45,C(C(F)(Cl)Br)(Cl)Br,,
46,C(C(F)(Cl)Br)(Br)Br,,
47,C(C(F)(Cl)Br)F,,
48,C(C(F)(Cl)Br)Cl,,
49,C(C(F)(Cl)Br)Br,,
50,C(C(F)(Br)Cl)(F)(F)F,,
51,C(C(F)(Br)Cl)(F)F,,
52,C(C(F)(Br)Cl)(F)Cl,,
53,C(C(F)(Br)Cl)(F)Br,,
54,C(C(F)(Br)Cl)(Cl)Cl,,
55,C(C(F)(Br)Cl)(Cl)Br,,
56,C(C(F)(Br)Cl)(Br)Br,,
57,C(C(F)(Br)Cl)F,,
58,C(C(F)(Br)Cl)Cl,,
59,C(C(F)(Br)Cl)Br,,
60,C(C(F)(Br)Br)(F)(F)F,,
61,C(C(F)(Br)Br)(F)F,,
62,C(C(F)(Br)Br)(F)Cl,,
63,C(C(F)(Br)Br)(F)Br,,
64,C(C(F)(Br)Br)(Cl)Cl,,
65,C(C(F)(Br)Br)(Cl)Br,,
66,C(C(F)(Br)Br)(Br)Br,,
67,C(C(F)(Br)Br)F,,
68,C(C(F)(Br)Br)Cl,,
69,C(C(F)(Br)Br)Br,,
70,C(C(Cl)(Cl)Cl)(F)(F)F,,
71,C(C(Cl)(Cl)Cl)(F)F,,
72,C(C(Cl)(Cl)Cl)(F)Cl,,
73,C(C(Cl)(Cl)Cl)(F)Br,,
74,C(C(Cl)(Cl)Cl)(Cl)Cl,,
75,C(C(Cl)(Cl)Cl)(Cl)Br,,
76,C(C(Cl)(Cl)Cl)(Br)Br,,
77,C(C(Cl)(Cl)Cl)F,,
78,C(C(Cl)(Cl)Cl)Cl,,
79,C(C(Cl)(Cl)Cl)Br,,
80,C(C(Cl)(Cl)Br)(F)(F)F,,
81,C(C(Cl)(Cl)Br)(F)F,,
82,C(C(Cl)(Cl)Br)(F)Cl,,
83,C(C(Cl)(Cl)Br)(F)Br,,
84,C(C(Cl)(Cl)Br)(Cl)Cl,,
85,C(C(Cl)(Cl)Br)(Cl)Br,,
86,C(C(Cl)(Cl)Br)(Br)Br,,
87,C(C(Cl)(Cl)Br)F,,
88,C(C(Cl)(Cl)Br)Cl,,
89,C(C(Cl)(Cl)Br)Br,,
90,C(C(Cl)(Br)Br)(F)(F)F,,
91,C(C(Cl)(Br)Br)(F)F,,
92,C(C(Cl)(Br)Br)(F)Cl,,
93,C(C(Cl)(Br)Br)(F)Br,,
94,C(C(Cl)(Br)Br)(Cl)Cl,,
95,C(C(Cl)(Br)Br)(Cl)Br,,
96,C(C(Cl)(Br)Br)(Br)Br,,
97,C(C(Cl)(Br)Br)F,,
98,C(C(Cl)(Br)Br)Cl,,
99,C(C(Cl)(Br)Br)Br,,
100,C(C(Br)(Br)Br)(F)(F)F,,
101,C(C(Br)(Br)Br)(F)F,,
102,C(C(Br)(Br)Br)(F)Cl,,
103,C(C(Br)(Br)Br)(F)Br,,
104,C(C(Br)(Br)Br)(Cl)Cl,,
105,C(C(Br)(Br)Br)(Cl)Br,,
106,C(C(Br)(Br)Br)(Br)Br,,
107,C(C(Br)(Br)Br)F,,
108,C(C(Br)(Br)Br)Cl,,
109,C(C(Br)(Br)Br)Br,,
110,C(C(F)F)(F)(F)F,,
111,C(C(F)F)(F)F,,
112,C(C(F)F)(F)Cl,,
113,C(C(F)F)(F)Br,,
114,C(C(F)F)(Cl)Cl,,
115,C(C(F)F)(Cl)Br,,
116,C(C(F)F)(Br)Br,,
117,C(C(F)F)F,,
118,C(C(F)F)Cl,,
119,C(C(F)F)Br,,
120,C(C(F)Cl)(F)(F)F,,
121,C(C(F)Cl)(F)F,,
122,C(C(F)Cl)(F)Cl,,
123,C(C(F)Cl)(F)Br,,
124,C(C(F)Cl)(Cl)Cl,,
125,C(C(F)Cl)(Cl)Br,,
126,C(C(F)Cl)(Br)Br,,
127,C(C(F)Cl)F,,
128,C(C(F)Cl)Cl,,
129,C(C(F)Cl)Br,,
130,C(C(F)Br)(F)(F)F,,
131,C(C(F)Br)(F)F,,
132,C(C(F)Br)(F)Cl,,
133,C(C(F)Br)(F)Br,,
134,C(C(F)Br)(Cl)Cl,,
135,C(C(F)Br)(Cl)Br,,
136,C(C(F)Br)(Br)Br,,
137,C(C(F)Br)F,,
138,C(C(F)Br)Cl,,
139,C(C(F)Br)Br,,
140,C(C(Cl)Cl)(F)(F)F,,
141,C(C(Cl)Cl)(F)F,,
142,C(C(Cl)Cl)(F)Cl,,
143,C(C(Cl)Cl)(F)Br,,
144,C(C(Cl)Cl)(Cl)Cl,,
145,C(C(Cl)Cl)(Cl)Br,,
146,C(C(Cl)Cl)(Br)Br,,
147,C(C(Cl)Cl)F,,
148,C(C(Cl)Cl)Cl,,
149,C(C(Cl)Cl)Br,,
150,C(C(Cl)Br)(F)(F)F,,
151,C(C(Cl)Br)(F)F,,
152,C(C(Cl)Br)(F)Cl,,
153,C(C(Cl)Br)(F)Br,,
154,C(C(Cl)Br)(Cl)Cl,,
155,C(C(Cl)Br)(Cl)Br,,
156,C(C(Cl)Br)(Br)Br,,
157,C(C(Cl)Br)F,,
158,C(C(Cl)Br)Cl,,
159,C(C(Cl)Br)Br,,
160,C(C(Br)Br)(F)(F)F,,
161,C(C(Br)Br)(F)F,,
162,C(C(Br)Br)(F)Cl,,
163,C(C(Br)Br)(F)Br,,
164,C(C(Br)Br)(Cl)Cl,,
165,C(C(Br)Br)(Cl)Br,,
166,C(C(Br)Br)(Br)Br,,
167,C(C(Br)Br)F,,
168,C(C(Br)Br)Cl,,
169,C(C(Br)Br)Br,,
170,C(CF)(F)(F)F,,
171,C(CF)(F)F,,
172,C(CF)(F)Cl,,
173,C(CF)(F)Br,,
174,C(CF)(Cl)Cl,,
175,C(CF)(Cl)Br,,
176,C(CF)(Br)Br,,
177,C(CF)F,,
178,C(CF)Cl,,
179,C(CF)Br,,
180,C(CCl)(F)(F)F,,
181,C(CCl)(F)F,,
182,C(CCl)(F)Cl,,
183,C(CCl)(F)Br,,
184,C(CCl)(Cl)Cl,,
185,C(CCl)(Cl)Br,,
186,C(CCl)(Br)Br,,
187,C(CCl)F,,
188,C(CCl)Cl,,
189,C(CCl)Br,,
190,C(C=CBr)(F)(F)F,,
191,C(C=CBr)(F)F,,
192,C(C=CBr)(F)Cl,,
193,C(C=CBr)(F)Br,,
194,C(C=CBr)(Cl)Cl,,
