,GWP100,LT,RE,lip,sol,,
10,1.7515014],-0.10479215],-0.76370573],0.152662],-2.6028528],エラー:502,エラー:502
7,1.779203],-0.06064582],-0.6763293],-0.03362863],-1.8879404],,
6805,1.8371129],0.6755329],-0.67930984],0.17177029],-4.5296493],,
8263,1.8438153],0.70338243],-0.6910076],0.17183383],-4.5251822],,
4618,1.8449557],0.7615509],-0.6437062],0.12949933],-4.4953804],,
6076,1.8483267],0.7933054],-0.63219476],0.1297222],-4.503322],,
7534,1.8504595],0.7159347],-0.6319465],0.17379834],-4.5337596],,
11908,1.8519698],0.72107154],-0.66744566],0.17071988],-4.517372],,
8425,1.8523387],0.67742735],-0.6900106],0.17218043],-4.5805135],,
11179,1.853281],0.7356243],-0.662225],0.16491587],-4.5000744],,
12637,1.8541628],0.72103786],-0.66723645],0.16988058],-4.4990306],,
5347,1.8551158],0.791918],-0.6371196],0.13016947],-4.5171466],,
8992,1.8555636],0.7627058],-0.64780784],0.13026865],-4.486753],,
12799,1.8568747],0.6948344],-0.6637989],0.1702229],-4.559037],,
2269,1.8576312],0.5809941],-0.68029976],0.14690228],-4.3288713],,
2755,1.8578649],0.5884954],-0.6897155],0.14706816],-4.324843],,
10450,1.8587956],0.75414526],-0.6461289],0.13053133],-4.4977922],,
6238,1.8587985],0.76485443],-0.63253844],0.12977268],-4.5049577],,
1540,1.859819],0.6612926],-0.6475923],0.10416026],-4.2372756],,
9721,1.860016],0.7686598],-0.6524086],0.13089062],-4.51177],,
4213,1.8615766],0.6035905],-0.66642475],0.1449746],-4.302995],,
8587,1.8616614],0.65323216],-0.69271547],0.1726804],-4.590851],,
2431,1.8627454],0.6371063],-0.63037515],0.14773019],-4.2768793],,
4456,1.8634689],0.80495495],-0.6478442],0.12961264],-4.489983],,
892,1.8650565],0.5518367],-0.6897315],0.12459059],-4.0120063],,
10612,1.8651454],0.725424],-0.6445486],0.13050409],-4.560038],,
3727,1.8661046],0.63316005],-0.66344357],0.13927622],-4.2760816],,
6643,1.8669655],0.642974],-0.67847174],0.17171414],-4.5684514],,
6967,1.8684176],0.6663548],-0.67638063],0.17211689],-4.5854897],,
3889,1.8695306],0.63655007],-0.6696772],0.14406772],-4.251764],,
2998,1.8697157],0.658366],-0.6518266],0.10498573],-4.25246],,
8101,1.8698869],0.66142523],-0.6916295],0.17267789],-4.550079],,
4780,1.8699963],0.76282316],-0.641863],0.12948532],-4.4836135],,
2026,1.8701935],0.68369824],-0.6375972],0.10441674],-4.245402],,
8830,1.8703184],0.7575201],-0.65076506],0.1302736],-4.4840665],,
12961,1.8703617],0.6849993],-0.6634441],0.16743948],-4.5716157],,
7696,1.8703825],0.6910949],-0.62651336],0.17414506],-4.5917974],,
4942,1.8708639],0.81220317],-0.64746356],0.12955256],-4.4855714],,
5509,1.8708773],0.75756377],-0.6335305],0.1301573],-4.520909],,
4699,1.8722383],0.7657214],-0.6439272],0.12948205],-4.492665],,
8479,1.872477],0.6792459],-0.6473823],0.17290278],-4.655972],,
1702,1.8726156],0.68917674],-0.64363855],0.10470428],-4.2560897],,
12070,1.873209],0.6961016],-0.66348785],0.17106648],-4.5732083],,
7129,1.8743942],0.66092855],-0.67751443],0.17177416],-4.596097],,
3160,1.8746557],0.6749257],-0.6540266],0.10556032],-4.245641],,
7291,1.8747399],0.7257135],-0.6341522],0.17312194],-4.527072],,
11017,1.8748913],0.7084559],-0.66030645],0.15592767],-4.52224],,
2593,1.8751947],0.6132419],-0.62834823],0.14839621],-4.3193936],,
12853,1.8755121],0.698562],-0.6212952],0.1709354],-4.63408],,
4051,1.8758261],0.6186058],-0.66625047],0.14502503],-4.301209],,
12151,1.87594],0.73816097],-0.667961],0.17049475],-4.4999604],,
10288,1.8759477],0.7300764],-0.651057],0.13064082],-4.5017524],,
10774,1.8767486],0.7261539],-0.64898044],0.13070513],-4.5694404],,
11503,1.8769809],0.74840134],-0.65966785],0.15587743],-4.5397625],,
9883,1.8773353],0.7379291],-0.6483948],0.13123728],-4.572269],,
7777,1.8775474],0.7358462],-0.63187206],0.17386587],-4.518576],,
9316,1.8778762],0.77241707],-0.65137124],0.13016589],-4.5025105],,
9154,1.8784411],0.76005244],-0.64804935],0.1302333],-4.507174],,
6589,1.879029],0.68188316],-0.6897764],0.17140795],-4.5192857],,
12475,1.879573],0.6905454],-0.6675227],0.16574384],-4.513058],,
11665,1.8799138],0.7306926],-0.6721253],0.16943516],-4.500314],,
730,1.8799553],0.5245006],-0.6878675],0.12389071],-3.9905224],,
3484,1.8800114],0.64193106],-0.6499175],0.10517944],-4.3025117],,
9073,1.8802333],0.7601218],-0.65067023],0.13031037],-4.5175576],,
8695,1.88029],0.6790855],-0.6395111],0.15062101],-4.687985],,
9964,1.8804351],0.78060895],-0.6551893],0.1310909],-4.4942055],,
11341,1.8806068],0.73778516],-0.6596447],0.16488256],-4.532575],,
8344,1.8810296],0.6661486],-0.6914388],0.17268439],-4.59439],,
12232,1.8814955],0.6610162],-0.66739],0.17114557],-4.5789723],,
5914,1.8818588],0.7548534],-0.642025],0.12973686],-4.492766],,
2674,1.8818653],0.6541457],-0.6964506],0.14604487],-4.26044],,
6886,1.8818938],0.6767624],-0.6784781],0.17251863],-4.59847],,
6292,1.8820518],0.77837276],-0.6337478],0.13699819],-4.483226],,
11746,1.8820813],0.6639866],-0.6677611],0.17053683],-4.5288177],,
11260,1.8822513],0.7417755],-0.6616952],0.16487779],-4.5438538],,
6400,1.8827634],0.765054],-0.63750875],0.12969257],-4.5018578],,
10045,1.8827829],0.6980949],-0.65243167],0.13116635],-4.579697],,
7372,1.882844],0.6644062],-0.6308626],0.17421813],-4.556769],,
3322,1.8828751],0.6638358],-0.65469015],0.1058379],-4.2970023],,
5104,1.8829484],0.7726611],-0.64046293],0.13006164],-4.5014663],,
12313,1.8832815],0.6791429],-0.66830313],0.17077895],-4.561379],,
811,1.8836381],0.5467594],-0.62886643],0.1267084],-4.030996],,
10126,1.8836668],0.718766],-0.6517938],0.1311905],-4.560121],,
7858,1.8838831],0.6577321],-0.63230765],0.17451699],-4.5952926],,
2512,1.883952],0.5983273],-0.6306348],0.14903273],-4.332726],,
7939,1.8841755],0.6758006],-0.63343734],0.17415024],-4.5837007],,
5185,1.8842384],0.7177986],-0.6381992],0.13013245],-4.5040097],,
6157,1.8844589],0.7622695],-0.6367947],0.12978555],-4.51069],,
12718,1.8846959],0.68601346],-0.664828],0.17072667],-4.5746202],,
9478,1.8857164],0.7667613],-0.6531646],0.13064016],-4.4907355],,
7021,1.8860121],0.6828308],-0.6720288],0.17265137],-4.657084],,
3970,1.8864553],0.60224307],-0.6667284],0.14595427],-4.3153567],,
5671,1.8865716],0.72904205],-0.63565946],0.13017733],-4.5118604],,
9559,1.8872191],0.6999346],-0.6517569],0.13105102],-4.527896],,
8641,1.8878559],0.69604015],-0.6515427],0.17247613],-4.657656],,
10666,1.8878741],0.73388404],-0.6076335],0.13781793],-4.63552],,
4402,1.8878953],0.8372658],-0.65844005],0.1516759],-4.4796047],,
2836,1.8879601],0.60377043],-0.6916932],0.14669688],-4.313288],,
2188,1.8895702],0.622516],-0.68655497],0.14573349],-4.252442],,
8506,1.8902447],0.7420249],-0.6939995],0.17180867],-4.510436],,
7048,1.8905821],0.7034583],-0.68026227],0.17165227],-4.506966],,
8020,1.8907914],0.7289925],-0.6962813],0.17116614],-4.5108523],,
10531,1.891979],0.72352856],-0.64677596],0.13051428],-4.5786543],,
8047,1.8924706],0.7113381],-0.6966152],0.17238303],-4.5625396],,
8668,1.8925809],0.6803908],-0.6940611],0.17231376],-4.57555],,
4834,1.8925866],0.7721317],-0.6484736],0.13670881],-4.4597955],,
13015,1.8928471],0.7393079],-0.6231724],0.16691442],-4.6446486],,
