,smiles,logGWP100,GWP100,log(GWP100),log(LT),log(RE),log(lip),log(sol)
0,C(F)(Cl)(Cl)Cl,3.668674729,3791.0326475329,3.5787575245,1.5418736935,-0.7202554941,-0.0094342092,-2.6887273788
1,C(F)(F)(Cl)Cl,4.0102617845,4148.6865517339,3.6179106236,1.8905580044,-0.550033927,0.0324059874,-2.4908099174
2,C(F)(F)(F)Cl,4.1427991617,4528.7658994197,3.6559798717,2.4036717415,-0.6851345301,0.0686171204,-2.0663495064
3,C(C(F)(Cl)Cl)(F)(F)Cl,3.7652288232,8284.9547017786,3.9182901382,1.9137507677,-0.5612450242,-0.0134954909,-2.8680522442
4,C(C(F)(F)Cl)(F)(F)Cl,3.934099323,8423.4711854104,3.9254910946,2.250510931,-0.4803321362,0.0192865878,-2.6929755211
5,C(C(F)(F)Cl)(F)(F)F,3.8845178251,8256.1733474882,3.9167788029,2.6281681061,-0.5484768152,-0.0069534639,-2.4629819393
6,C(F)(Cl)Cl,2.1705550585,153.0031072104,2.1847002506,0.2305241227,-1.0405386686,0.0187801868,-1.3391071558
7,C(F)(F)Cl,3.2467693149,1976.751521206,3.2959520817,0.9660053849,-0.8312528133,0.0231970698,-1.2123280764
8,C(C(F)(F)Cl)(Cl)Cl,1.7715874809,60.1454886006,1.7792030573,-0.0606458224,-0.6763293147,-0.0336286277,-1.8879404068
9,C(C(F)(Cl)Cl)(F)Cl,2.4117880045,245.9814067092,2.3909022808,0.4517374039,-0.8025624156,0.0632687956,-2.4402210712
10,C(C(F)(F)F)(Cl)Cl,1.8981764835,86.8797556012,1.9389185905,0.0484735332,-0.6458656192,0.0325582772,-1.4067012072
11,C(C(F)(F)Cl)(F)Cl,2.5683190851,358.0399391822,2.5539314747,0.4527739882,-0.7008178234,-0.0685494989,-1.9721035957
12,C(C(F)(F)F)(F)Cl,2.7218930162,507.9263829166,2.7058007717,0.5930510759,-0.6543854475,0.0229650289,-1.4348652363
13,C(C(F)(Cl)Cl)F,2.5290451708,402.1585412494,2.6043972969,0.1581662893,-0.8345950842,-0.0028675059,-1.6381942034
14,CC(F)(Cl)Cl,2.8932622859,1054.2491469734,3.0229432583,0.8073874712,-0.7469218373,0.0081166765,-2.3086698055
15,CC(F)(F)Cl,3.2971255615,2536.693676848,3.4042680264,1.2408274412,-0.7887206674,0.0201018602,-2.0430827141
16,C(C(C(F)(F)F)(F)F)(Cl)Cl,2.1041455506,120.6579225094,2.0815558434,0.4404517412,-0.5924400091,0.0449674278,-2.3153090477
17,C(C(C(F)(F)Cl)(F)F)(F)Cl,2.7202420183,538.465076479,2.7311575413,1.0662800074,-0.5215623975,0.054726854,-2.6991083622
18,C(=C/Cl)\C(F)(F)F,0.0413926852,0.9096825822,-0.0411101207,-1.4879494905,-1.3188180923,0.0822456628,-1.8269000053
19,C(F)(F)F,4.0933551349,10848.4687559005,4.0353684425,1.9881728888,-0.7046840191,-0.0309465975,-0.7719890475
20,C(F)F,2.8306528138,702.533135521,2.8466668129,0.6930086613,-1.153730154,-0.0483463258,-0.1824043542
21,CF,2.0648322197,119.6193576626,2.077801466,0.4718295336,-1.7564957142,0.158312276,-1.1907778978
22,C(C(F)(F)F)(F)F,3.5009359434,3048.2310999393,3.4840478897,1.2466498613,-0.6324393749,0.0201476961,-1.6383112669
23,C(C(F)F)(F)F,3.0477031081,1153.731371917,3.062104702,0.9397007823,-0.7476993203,-0.0068797329,-0.8288429976
24,C(C(F)(F)F)F,3.1143106769,1289.2369006496,3.1103327274,0.8731299639,-1.1341760159,0.1073786169,-1.2818447351
25,C(C(F)F)F,2.5160062304,348.1379636876,2.5417513847,0.5396062136,-0.9840990305,0.0022075912,-0.2271972746
26,CC(F)(F)F,3.6816120389,4176.4878660095,3.620811224,1.4904251099,-0.665797472,0.0426612645,-1.834112525
27,C(CF)F,1.206825876,20.0663131109,1.3024675846,-0.378713727,-1.317777276,-0.0645122975,-1.2823467255
28,CC(F)F,2.1401936786,167.7656614569,2.2247030735,0.2943086028,-1.3756079674,0.0523510128,-1.159085989
29,CCF,0.6127838567,4.6315856695,0.6657297015,-0.7006899118,-1.6894528866,-0.0977799743,-0.7674867511
30,C(C(C(F)(F)F)(F)F)(F)F,3.4219492511,2613.937609854,3.4172952175,1.515863061,-0.4876482487,0.0546763688,-2.3938441277
31,C(C(F)(F)F)(C(F)(F)F)F,3.5247984209,1938.1361034036,3.2873842716,0.7585257888,-0.4200979769,-0.0278881639,-2.0296466351
32,C(C(C(F)(F)F)(F)F)F,3.0817432499,1290.2508172845,3.1106741428,0.9476615787,-1.1263670921,0.1105237752,-1.7903555632
33,C(C(F)F)(C(F)(F)F)F,3.1255137959,1421.9068024355,3.1528711319,0.7117485404,-0.5505182743,0.0156377703,-1.9254519939
34,C(C(F)(F)F)C(F)(F)F,3.9061248485,3102.8257924056,3.4917573929,1.5448335409,-0.6811280251,-0.0368422121,-2.617585659
35,C(C(C(F)F)(F)F)F,2.8549736737,176.209620315,2.2460296154,0.7339639664,-0.7087750435,0.0594862849,-1.0449852943
36,CC(C(F)(F)F)(F)F,3.6648393373,7989.4580126448,3.9025173187,1.8642239571,-0.5298718214,-0.0078832367,-2.3291487694
37,C(C(F)F)(C(F)F)F,2.3712526291,1628.9808162286,3.2119159698,0.1698963046,-1.0953428745,0.0248793513,-1.0877959728
38,C(C(C(F)(F)F)F)F,2.4625477288,64.5301916173,1.8097629547,0.3452277184,-0.6414594054,0.0645145327,-1.3057173491
39,C(C(F)F)C(F)(F)F,2.933537902,1137.0728201927,3.0557882786,0.9031006098,-0.6355676055,0.0998113304,-1.9813934565
40,CCC(F)(F)F,1.8813846568,94.7434658456,1.9765492678,0.0298432074,-0.8762311339,0.0999301821,-1.6711999178
41,CC(C)(F)F,2.1586639808,1885.1857441918,3.275354147,0.4677251577,-1.033995986,-0.2568240762,-2.1458485126
42,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,3.3720093525,3741.2554179649,3.5730173588,1.6596416235,-0.5144164562,0.0630909353,-2.8106045723
43,CC(CC(F)(F)F)(F)F,2.9053100621,901.0232431171,2.9547359943,1.1512371302,-0.5840877891,-0.1258576363,-2.4590544701
44,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,3.2167199672,1564.7068140871,3.1944329739,0.93811059,-0.5223395824,0.007699444,-2.6002445221
45,C=C(F)F,-1,0.6581006049,-0.18170771,-1.9971381426,-2.3712759018,0.0314890891,-0.5341286063
46,C=CF,-1,0.1040810475,-0.9826283455,-2.2311477661,-2.548801899,0.0234398395,-0.3583550453
47,C(=C(/C(F)(F)F)\F)\F,-1,0.1081367113,-0.9660268426,-1.9946643114,-1.6571080685,0.2709303498,-1.5028674603
48,C(=C(C(F)(F)F)F)F,-1,0.1081367113,-0.9660268426,-1.9946643114,-1.6571080685,0.2709303498,-1.5028674603
49,C=C(C(F)(F)F)F,-1,0.1145809372,-0.94088763,-1.2367331982,-1.3431118727,0.1091075689,-1.0784614086
50,C(=C/F)\C(F)(F)F,0.0413926852,1.1966360385,0.0779620782,-1.3447970152,-1.3409810066,0.0394726545,-1.9505395889
51,C(=C/C(F)(F)F)\C(F)(F)F,0.3222192947,5.6562128853,0.7525257468,-0.5497453213,-0.9906942248,0.2632795572,-2.8888976574
52,C=CC(F)(F)F,-1,0.0913662136,-1.0392143726,-1.8708244562,-1.5772302151,0.1958333999,-1.1549075842
53,C=CC(C(F)(F)F)(F)F,-1,0.4398280773,-0.3567170501,-1.5595363379,-1.4310939312,0.163884297,-1.8236516714
54,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-1,0.3135856992,-0.5036437511,-1.4932918549,-1.2766053677,0.1477465779,-2.6291604042
55,C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-1,0.2190422501,-0.6594721079,-1.4690152407,-1.2981214523,0.1189085394,-3.2755591869
56,C=CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-1,0.1936518707,-0.7129783034,-1.4071186781,-1.3220003843,0.0095334193,-3.8222441673
57,CC(Cl)(Cl)Cl,2.2043913319,836.7656536518,2.9226038456,0.8353725672,-1.1849651337,0.0069960495,-2.8131523132
58,CCl,1.0827853703,71.19109853,1.8524256945,0.0221876018,-2.0257081985,-0.0286271423,-1.1989840269
59,C(Cl)Cl,0.9590413923,10.5726474369,1.0241837502,-0.4249146581,-1.5102112293,0.0222298652,-0.57476753
60,C(Cl)(Cl)Cl,1.206825876,40.2572047524,1.6048436165,-0.342104733,-0.9713873863,0.0196844488,-1.3232110739
61,C(CCl)Cl,0.0413926852,1.2612531968,0.10080228,-0.7307494879,-1.416495204,0.0262067467,-1.6356213093
62,CBr,0.3222192947,138.5438516882,2.1415872574,-0.1111236662,-2.0513091087,0.0333817154,-0.8820221424
63,C(Br)Br,0.0413926852,1.207459879,0.0818727091,-0.5097020864,-1.9974753857,0.030630067,-0.8362345695
64,C(F)(F)Br,2.5753033334,396.0097157274,2.5977058411,0.6494965553,-0.7674454451,0.0202306658,-1.4142956734
65,C(F)(F)(Br)Br,2.3637999455,436.3309762558,2.6398160458,0.5567177534,-0.6119123101,0.0412199646,-2.3266553879
66,C(F)(F)(Cl)Br,3.2420691123,2120.0875142879,3.3263537884,1.152453661,-0.6847883463,0.0206945091,-2.1531596184
67,C(F)(F)(F)Br,3.7987956162,822.4425695672,2.9151055813,1.7260576487,-0.6190305948,0.0790545493,-1.7818059921
68,C(C(F)(F)F)Br,2.2382970679,195.1938230357,2.2904660702,0.5377061367,-1.1229376793,0.1341564208,-1.4577863216
69,C(C(F)(F)F)(Cl)Br,1.6138418219,43.2971540253,1.6364593506,0.0702157617,-0.7373678684,0.0191312581,-1.6687533855
70,C(C(F)(F)F)(F)Br,2.2650537885,211.5470766333,2.3254070282,0.6291651726,-0.7001900673,0.0158993155,-1.6956989765
71,C(C(F)(F)Br)(F)(F)Br,3.1679373127,2049.2197164889,3.3115885258,1.7741400003,-0.5677193403,-0.0023662308,-2.3838880062
72,N(F)(F)F,4.2060185793,9302.476984642,3.9685986042,2.033069849,-0.7244065404,-0.0519758016,-0.8380377889
73,FS(F)(F)(F)(F)F,4.3711990548,6449.6156474913,3.8095338345,2.5736751556,-0.2407113761,-0.2122232765,-2.0988035202
74,O=S(=O)(F)F,3.6122645114,586.0344094377,2.7679231167,1.6503399611,-0.6849150658,-0.063623175,-1.6325026751
75,C(C(F)(F)F)(F)(F)F,4.0462258417,8065.3836855304,3.9066250324,2.8734271526,-0.5939763188,-0.0066841105,-2.275551796
76,C1(C(C1(F)F)(F)F)(F)F,3.9636981268,5812.3320143336,3.7643504143,2.9706614017,-0.6490873098,-0.0108819464,-2.3954339027
77,C(C(F)(F)F)(C(F)(F)F)(F)F,3.9493948863,7313.5278697087,3.8641269207,3.0254023075,-0.4694062471,-0.0161799639,-2.7625131607
78,C1(C(C(C1(F)F)(F)F)(F)F)(F)F,3.9797804827,7874.7565243077,3.8962371349,3.1335351467,-0.6706177592,-0.0127506116,-2.8311400414
79,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,3.9638869485,8096.2018327532,3.9082813263,3.1793498993,-0.4823961258,-0.01362829,-3.1759922504
80,C1(=C(C(C(C1(F)F)(F)F)(F)F)F)F,0.3222192947,0.1801528358,-0.7443588972,-1.1239250898,-1.219837904,0.0489725024,-3.4393844604
81,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,3.9318187852,8940.8011949245,3.9513764381,3.2576692104,-0.4676065147,-0.0102000693,-3.5849299431
82,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,3.8982917676,10216.7467820253,4.0093126297,3.4185655117,-0.4936248958,-0.0083098272,-3.8883709908
83,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,3.8933233638,11429.7770177081,4.0580377579,3.5353186131,-0.5023341775,-0.0079890946,-4.1660399437
84,C(=C(F)F)(F)F,-1,0.1034291638,-0.9853569865,-2.3597295284,-1.9733271599,0.0229001194,-1.5859845877
85,C(=C(F)F)(C(F)(F)F)F,-1,0.0970468651,-1.0130184889,-1.1760336161,-1.3552371264,0.0819434673,-2.5323858261
86,C(=C(F)F)(C(=C(F)F)F)F,-1,0.1023562794,-0.989885509,-2.3987939358,-2.1671729088,0.0484022051,-2.4380607605
87,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.3222192947,0.2165042592,-0.6645335555,-1.1633803844,-1.3534793854,0.0361952335,-2.5992870331
88,C(OC(F)(F)F)(F)F,4.0935302452,2581.6064051167,3.4118900299,1.5108076334,-0.1977385879,0.2307492048,-1.6201574802
89,C(OC(F)F)(F)F,3.7453949267,2027.3940677141,3.3069381714,1.1138995886,-0.4945138991,-0.1480138749,-0.5231850147
90,COC(F)(F)F,2.71858472,271.9129452224,2.434429884,0.3718196154,-0.6816977859,0.1185634285,-1.5427789688
91,C(C(F)(F)F)(OC(F)(F)F)F,3.8097010898,3893.7219286193,3.590364933,1.2668727636,-0.7348514795,0.3041716218,-2.1993358135
92,C(C(OC(F)F)(F)F)(F)Cl,2.7657430414,1088.7518153263,3.0369288921,0.8531469703,-0.287989527,0.0145606538,-1.628775239
93,C(C(F)(F)F)(OC(F)F)Cl,2.6911699341,540.1408088369,2.7325069904,0.5614712834,-0.370321542,0.0200349241,-1.6739075184
94,C(C(OC(F)F)(F)F)(F)F,3.627580902,2727.1618124614,3.435710907,1.0495404005,-0.2157550454,0.0637343675,-1.7653827667
95,C(C(F)(F)F)(OC(F)F)F,3.2533622398,1936.383430708,3.2869913578,0.9644160867,-0.3425297737,0.0148509881,-1.7312963009
96,C(C(F)(F)F)OC(F)(F)F,2.9908270506,701.3089108171,2.8459093571,1.0826169252,-0.3698515296,0.3077473044,-2.864623785
97,C(C(F)F)OC(F)(F)F,2.9180827846,855.5840092558,2.9322626591,0.7651196122,-0.4274638891,0.2018217593,-1.9569052458
98,C(C(F)(F)F)OC(F)F,2.9096095105,1588.6704979267,3.2010338306,0.7736774087,-0.6794559956,0.0983159095,-1.8988389969
99,C(C(C(F)(F)F)(F)F)O,1.2810333672,25.045319859,1.3987265825,-0.4436014891,-1.0432741642,0.1008172184,-1.5527032614
100,COC(C(F)F)(F)F,2.4787107555,287.0638380055,2.457978487,0.5410234928,-0.4893074334,0.2849270105,-1.5194358826
101,COCC(F)(F)F,0.0413926852,1.5523617616,0.1909929365,-1.1172822714,-1.4006912708,-0.0728152841,-1.1740746498
102,C(C(OC(F)(F)F)(F)F)(F)F,1.463892989,247.204783077,2.3930568695,0.5284778476,-0.4970093369,0.2442791611,-2.0279998779
103,C(CO)C(F)(F)F,-1,0.1180754443,-0.9278404117,-1.3702963591,-1.5315458775,0.0220018774,-1.4438734055
104,C(C(F)(F)F)(C(F)(F)F)OC(F)F,3.4184835904,2491.0698656724,3.3963859081,1.0521825552,-0.3169714808,-0.0686451644,-2.3373820782
