,name,n,smiles,refractive-index1,refractive-index2,refractive-index3,refractive-index4,refractive-index5,average,median,GWP100,log(GWP100),log(LT),log(RE),log(lip),log(sol)
0,1-1-H,,C=C(C)C(=O)OCC(F)F,1.444,0.956,1.661,1.639,1.510,1.442,1.510,2.3527743287,0.3715802729,-0.7696998119,-1.0912030935,0.0183999687,-1.2161667347
1,1-3-H,,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)F,1.395,1.376,1.389,1.293,1.385,1.368,1.385,6.0048516896,0.7785022855,-0.5329584479,-0.5728799105,0.4566215277,-2.8872923851
2,1-5-H,,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,1.390,1.386,1.368,1.378,1.361,1.376,1.378,3.5033227149,0.544480145,-0.3628952503,-0.6971009374,0.5272142887,-3.501502037
3,1-1-F,,C=C(C)C(=O)OCC(F)(F)F,1.320,1.411,1.453,1.354,1.435,1.395,1.411,0.7672512274,-0.1150624081,-1.1212502718,-1.0964272022,0.3467818797,-1.7527478933
4,1-5-F,,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.389,1.384,1.373,1.371,1.324,1.368,1.373,0.3317809628,-0.4791485369,-1.1304049492,-1.1178910732,0.4844579995,-3.1035301685
5,1-6-F,,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.405,1.390,1.379,1.373,1.302,1.370,1.379,0.3007067765,-0.5218567848,-1.08662045,-1.1217982769,0.4901629984,-3.3098125458
6,2-1-F,,C=C(C)C(=O)OCCC(F)(F)F,1.165,1.352,1.372,1.212,1.474,1.315,1.352,0.1872832878,-0.7275009751,-2.0733799934,-1.1922460794,0.0357540399,-1.8688212633
7,2-2-F,,C=C(C)C(=O)OCCC(F)(F)C(F)(F)F,1.280,1.379,1.402,1.374,1.443,1.375,1.379,0.253718914,-0.5956471562,-1.9433327913,-1.2283763885,-0.0155188898,-2.2656993866
8,2-3-F,,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)F,1.278,1.362,1.374,1.384,1.404,1.360,1.374,0.1666941547,-0.7780796289,-1.9075261354,-1.1897104979,-0.0209381133,-2.5988864899
9,2-5-F,,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.324,1.387,1.381,1.373,1.366,1.366,1.373,0.0934105486,-1.0296040773,-1.8680033684,-1.2041991949,-0.0022362927,-3.0769572258
